customer_id,name,email,city,joined_on,membership,_ingestion_timestamp,_source_file
1,Aadhya Chauhan,aadhyachauhan@rediffmail.com,Pune,2022-03-05,BASIC,2026-08-12T13:29:33.514031,customers.csv
1863,Jyoti Banerjee,jyotibanerjee@outlook.com,Allahabad,2020-05-04,BASIC,2026-08-12T13:29:33.514031,customers.csv
1864,Girish Mehta,girishmehta@gmail.com,Gurugram,2022-02-10,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1865,Aadhya Sarkar,aadhyasarkar@gmail.com,Ahmedabad,2022-07-20,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1866,Diya Roy,diyaroy@hotmail.com,Surat,2023-07-10,BASIC,2026-08-12T13:29:33.514031,customers.csv
1867,Isha Mehta,ishamehta@yahoo.com,Meerut,2024-08-16,BASIC,2026-08-12T13:29:33.514031,customers.csv
1868,Chinmay Khanna,chinmaykhanna@gmail.com,Nagpur,2022-02-02,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1869,Kiara Rajan,kiararajan@gmail.com,Guwahati,2019-01-14,BASIC,2026-08-12T13:29:33.514031,customers.csv
1870,Riya Bhaduri,riyabhaduri@gmail.com,Ahmedabad,2019-12-19,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1871,Vinod Rao,vinodrao@gmail.com,Chennai,2019-12-20,BASIC,2026-08-12T13:29:33.514031,customers.csv
1872,Rahul Roy,rahulroy@gmail.com,Kota,2019-02-12,BASIC,2026-08-12T13:29:33.514031,customers.csv
1873,Aisha Awasthi,aishaawasthi@gmail.com,Mysuru,2021-10-07,BASIC,2026-08-12T13:29:33.514031,customers.csv
1874,Isha Tripathi,ishatripathi@gmail.com,Pune,2023-04-03,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1875,Shreya Pandey,shreyapandey@gmail.com,Coimbatore,2023-08-23,BASIC,2026-08-12T13:29:33.514031,customers.csv
1876,Himani Tripathi,himani.tripathi@yahoo.com,Hyderabad,2022-04-23,BASIC,2026-08-12T13:29:33.514031,customers.csv
1877,Aliya Deshpande,aliyadeshpande@gmail.com,Patna,2023-01-29,BASIC,2026-08-12T13:29:33.514031,customers.csv
1878,Sachin Balaji,sachinbalaji@gmail.com,Mumbai,2023-04-29,BASIC,2026-08-12T13:29:33.514031,customers.csv
1879,Sushma Chakraborty,sushmachakraborty@outlook.com,Ahmedabad,2022-03-28,BASIC,2026-08-12T13:29:33.514031,customers.csv
1862,Vihaan Sarkar,vihaansarkar@gmail.com,Nashik,2020-12-25,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1861,Saanvi Krishnan,saanvikrishnan@ymail.com,Chittorgarh,2019-06-06,BASIC,2026-08-12T13:29:33.514031,customers.csv
1860,Garima Kumar,garimakumar@rediffmail.com,Dhanbad,2024-02-05,BASIC,2026-08-12T13:29:33.514031,customers.csv
1859,Sunita Desai,sunitadesai@yahoo.co.in,Pune,2019-08-23,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1841,Ayaan Biswas,ayaanbiswas@gmail.com,Delhi,2021-07-14,BASIC,2026-08-12T13:29:33.514031,customers.csv
1842,Zara Verma,zaraverma@yahoo.co.in,Pune,2023-10-12,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1843,Chinmay Sethi,chinmaysethi@outlook.com,Guntur,2021-04-09,BASIC,2026-08-12T13:29:33.514031,customers.csv
1844,Kunal Bose,kunalbose@yahoo.com,Pune,2021-12-12,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1845,Dhruv Banerjee,dhruvbanerjee@outlook.com,Ahmedabad,2022-02-09,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1846,Shubham Sarkar,shubhamsarkar@rediffmail.com,Chennai,2019-01-11,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1847,Nisha Chauhan,nisha.chauhan@gmail.com,Hyderabad,2024-05-01,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1848,Aarav Saxena,aaravsaxena@gmail.com,Hyderabad,2023-12-06,BASIC,2026-08-12T13:29:33.514031,customers.csv
1880,Vikram Rajan,vikramrajan@yahoo.co.in,Delhi,2021-05-13,BASIC,2026-08-12T13:29:33.514031,customers.csv
1849,Laila Krishnan,lailakrishnan@yahoo.co.in,Patna,2020-04-25,BASIC,2026-08-12T13:29:33.514031,customers.csv
1851,Isha Balaji,ishabalaji@ymail.com,Delhi,2021-05-26,BASIC,2026-08-12T13:29:33.514031,customers.csv
1852,Aisha Kapoor,aishakapoor@gmail.com,Ghaziabad,2023-12-14,BASIC,2026-08-12T13:29:33.514031,customers.csv
1853,Ruhi Mittal,ruhimittal@gmail.com,Coimbatore,2023-11-19,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1854,Suresh Pandey,sureshpandey@hotmail.com,Faridabad,2022-11-18,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1855,Ramesh Chauhan,rameshchauhan@ymail.com,Rohtak,2021-02-21,BASIC,2026-08-12T13:29:33.514031,customers.csv
1856,Gaurav Pandey,gauravpandey@gmail.com,Chennai,2023-01-18,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1857,Aadhya Sharma,aadhyasharma@yahoo.co.in,Ahmedabad,2023-02-19,BASIC,2026-08-12T13:29:33.514031,customers.csv
1858,Savita Verma,savitaverma@yahoo.co.in,Mumbai,2022-01-31,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1850,Aakash Desai,aakashdesai@outlook.com,Nashik,2022-12-25,BASIC,2026-08-12T13:29:33.514031,customers.csv
1840,Aliya Tripathi,aliyatripathi@gmail.com,Vadodara,2022-09-17,BASIC,2026-08-12T13:29:33.514031,customers.csv
1881,Navya Mane,navyamane@gmail.com,Davangere,2021-02-02,BASIC,2026-08-12T13:29:33.514031,customers.csv
1883,Kunal Patel,kunalpatel@gmail.com,Guwahati,2019-02-02,BASIC,2026-08-12T13:29:33.514031,customers.csv
1907,Sana Jadhav,sanajadhav@rediffmail.com,Bhubaneswar,2023-07-04,BASIC,2026-08-12T13:29:33.514031,customers.csv
1908,Sachin Gupta,sachingupta@outlook.com,Kolkata,2020-04-19,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1909,Ekta Patil,ektapatil@hotmail.com,Sikar,2022-10-04,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1910,Sushma Bajpai,sushmabajpai@gmail.com,Raipur,2023-04-20,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1911,Hira Reddy,hirareddy@gmail.com,Ahmedabad,2021-11-22,BASIC,2026-08-12T13:29:33.514031,customers.csv
1912,Kamala Sarkar,kamalasarkar@rediffmail.com,Nagpur,2024-03-18,BASIC,2026-08-12T13:29:33.514031,customers.csv
1913,Sai Chatterjee,saichatterjee@rediffmail.com,Jaipur,2023-02-21,BASIC,2026-08-12T13:29:33.514031,customers.csv
1914,Ramesh Chaturvedi,ramesh.chaturvedi@yahoo.co.in,Kota,2019-04-07,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1915,Avni Pandey,avnipandey@hotmail.com,Kanpur,2024-01-04,BASIC,2026-08-12T13:29:33.514031,customers.csv
1916,Tanvi Patel,tanvipatel@gmail.com,Ahmedabad,2019-05-30,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1917,Shubham Desai,shubham.desai@gmail.com,Delhi,2020-01-23,BASIC,2026-08-12T13:29:33.514031,customers.csv
1918,Chinmay Das,chinmaydas@rediffmail.com,Nagpur,2022-01-30,BASIC,2026-08-12T13:29:33.514031,customers.csv
1919,Santosh Biswas,santoshbiswas@ymail.com,Coimbatore,2019-06-16,BASIC,2026-08-12T13:29:33.514031,customers.csv
1920,Rohit Awasthi,rohitawasthi@gmail.com,Chandigarh,2020-02-19,BASIC,2026-08-12T13:29:33.514031,customers.csv
1921,Kamala Reddy,kamalareddy@yahoo.co.in,Kanpur,2019-04-02,BASIC,2026-08-12T13:29:33.514031,customers.csv
1922,Prasad Mittal,prasadmittal@gmail.com,Ghaziabad,2023-11-11,BASIC,2026-08-12T13:29:33.514031,customers.csv
1923,Chetna Tripathi,chetnatripathi@yahoo.co.in,Dhanbad,2021-09-25,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1906,Ekta Verma,ektaverma@hotmail.com,Bengaluru,2024-09-07,BASIC,2026-08-12T13:29:33.514031,customers.csv
1905,Ekta Reddy,ektareddy@gmail.com,Bhubaneswar,2023-07-15,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1904,Ishita Trivedi,ishitatrivedi@gmail.com,Lucknow,2020-03-11,BASIC,2026-08-12T13:29:33.514031,customers.csv
1903,Rudra Malhotra,rudramalhotra@outlook.com,Thiruvananthapuram,2024-05-22,BASIC,2026-08-12T13:29:33.514031,customers.csv
1884,Sundar Krishnan,sundarkrishnan@hotmail.com,Bhubaneswar,2020-02-15,BASIC,2026-08-12T13:29:33.514031,customers.csv
1885,Rajesh Sethi,rajeshsethi@rediffmail.com,Vadodara,2019-03-31,BASIC,2026-08-12T13:29:33.514031,customers.csv
1887,Meera Mittal,meeramittal@hotmail.com,Chandigarh,2024-05-30,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1888,Manish Bhatia,manishbhatia@yahoo.com,Kota,2024-09-07,BASIC,2026-08-12T13:29:33.514031,customers.csv
1889,Sundar Bhatt,sundarbhatt@outlook.com,Kochi,2020-11-02,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1890,Diya Bhatia,diyabhatia@ymail.com,Chennai,2020-07-25,BASIC,2026-08-12T13:29:33.514031,customers.csv
1891,Nadia Srivastava,nadiasrivastava@gmail.com,Pune,2020-08-02,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1892,Suresh Jadhav,sureshjadhav@gmail.com,Indore,2020-08-27,BASIC,2026-08-12T13:29:33.514031,customers.csv
1882,Pranav Mane,pranavmane@hotmail.com,Jaipur,2023-03-28,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1893,Saanvi Bhatia,saanvibhatia@gmail.com,Chennai,2021-04-12,BASIC,2026-08-12T13:29:33.514031,customers.csv
1895,Sunita Mishra,sunitamishra@gmail.com,Bhopal,2023-06-03,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1896,Navya Krishnan,navyakrishnan@outlook.com,Allahabad,2021-09-21,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1897,Advaith Vyas,advaithvyas@hotmail.com,Kota,2020-06-30,BASIC,2026-08-12T13:29:33.514031,customers.csv
1898,Sachin Saxena,sachinsaxena@outlook.com,Chandigarh,2019-10-21,BASIC,2026-08-12T13:29:33.514031,customers.csv
1899,Geeta Roy,geetaroy@yahoo.com,Mangaluru,2020-12-30,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1900,Priya Awasthi,priyaawasthi@hotmail.com,Patna,2019-01-07,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1901,Mihir Desai,mihirdesai@yahoo.com,Hyderabad,2021-02-08,BASIC,2026-08-12T13:29:33.514031,customers.csv
1902,Navya Bhatia,navyabhatia@gmail.com,Ahmedabad,2021-01-06,BASIC,2026-08-12T13:29:33.514031,customers.csv
1894,Atharva Garg,atharvagarg@ymail.com,Noida,2023-03-13,BASIC,2026-08-12T13:29:33.514031,customers.csv
1924,Dipali Gupta,dipaligupta@rediffmail.com,Chennai,2023-11-25,BASIC,2026-08-12T13:29:33.514031,customers.csv
1839,Rahul Trivedi,rahultrivedi@gmail.com,Bhopal,2019-01-23,BASIC,2026-08-12T13:29:33.514031,customers.csv
1837,Harsh Awasthi,harshawasthi@yahoo.co.in,Bhopal,2021-05-12,BASIC,2026-08-12T13:29:33.514031,customers.csv
1777,Sachin Roy,sachinroy@gmail.com,Hyderabad,2019-02-01,PREMIUM,2026-08-12T13:29:33.514031,customers.csv
1778,Kunal Awasthi,kunalawasthi@rediffmail.com,Jaipur,2023-12-02,BASIC,2026-08-12T13:29:33.514031,customers.csv
1779,Kamala Roy,kamalaroy@gmail.com,Kolkata,2024-07-13,BASIC,2026-08-12T13:29:33.514031,customers.csv
1780,Reyansh Chakraborty,reyanshchakraborty@ymail.com,Kochi,2023-10-14,BASIC,2026-08-12T13:29:33.514031,customers.csv
1781,Rohit Vyas,rohitvyas@gmail.com,Salem,2019-06-21,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
1782,Shubham Yadav,shubhamyadav@ymail.com,Pune,2022-07-11,BASIC,2026-08-12T13:29:33.514031,customers.csv
1783,Suresh Malhotra,sureshmalhotra@gmail.com,Pune,2024-06-16,BASIC,2026-08-12T13:29:33.514031,customers.csv
1784,Angel Tiwari,angeltiwari@yahoo.co.in,Ranchi,2020-03-10,BASIC,2026-08-12T13:29:33.514031,customers.csv
1785,Laila Kapoor,lailakapoor@gmail.com,Chennai,2024-09-14,LIBRARY,2026-08-12T13:29:33.514031,customers.csv
