customer_id,first_name,last_name,email,phone,city,state,country,signup_date,membership,status
CUST02526,Allison,Jones,torresryan@example.org,+1-935-467-4849x61219,Delhi,Bihar,India,2023-08-20,Platinum,Active
CUST02923,James,Martin,cooperamanda@example.org,887.364.6634x853,Delhi,Bihar,India,2024-01-11,Silver,Inactive
CUST00890,Robert,Wade,david74@example.net,001-886-900-1466,Patna,Telangana,India,2024-04-16,Platinum,Active
CUST00658,Darlene,Holland,beckdiane@example.org,+1-648-500-1309,Hyderabad,Telangana,India,2023-02-26,Platinum,Active
CUST04317,Jeffrey,Mitchell,jessica48@example.com,250.992.1465x6318,Patna,Maharashtra,India,2024-04-28,Silver,Inactive
CUST00839,Nicholas,Rivera,mboone@example.net,,Delhi,Karnataka,India,2023-05-04,Silver,Active
CUST02345,Kendra,Dixon,david26@example.com,437-704-3599x58231,Delhi,Telangana,India,2023-04-10,Platinum,Inactive
CUST02147,Joseph,Davidson,washingtondanielle@example.com,574-685-0902x3696,Lucknow,Karnataka,India,2022-04-22,Gold,Active
CUST00200,Paula,Moran,anthony39@example.net,624.400.1282,Kolkata,Delhi,India,2023-06-06,Platinum,Inactive
CUST02847,Jennifer,Jimenez,tacosta@example.com,001-236-797-8890,Mumbai,Telangana,India,2023-12-02,Platinum,Active
CUST04392,John,Johnson,keith55@example.com,(496)412-4600,Patna,West Bengal,India,2022-07-25,Platinum,Inactive
CUST04714,William,Robertson,ehenry@example.org,889.649.7794x905,Mumbai,Maharashtra,India,2022-12-19,Platinum,Inactive
CUST00085,David,Hernandez,sheltonjennifer@example.com,228-555-0968,Patna,Delhi,India,2024-03-12,Silver,Inactive
CUST01118,Katherine,Nguyen,timothybryant@example.org,,Bangalore,West Bengal,India,2024-01-26,Platinum,Inactive
CUST00394,Linda,Valencia,feliciaperez@example.net,,Delhi,West Bengal,India,2022-05-05,Gold,Inactive
CUST00034,Amanda,Reynolds,mitchellnicholas@example.net,338.418.7194,Kolkata,West Bengal,India,2023-09-06,Silver,Active
CUST01371,Brenda,Graham,hunterrobert@example.org,(912)400-1062x3193,Lucknow,Karnataka,India,2022-04-11,Gold,Active
CUST03640,Wendy,Manning,bestcourtney@example.org,001-283-545-3701x6577,Kolkata,Rajasthan,India,2023-01-29,Gold,Active
CUST02797,Barbara,Cummings,kclements@example.net,001-893-848-6742x1952,Kolkata,Delhi,India,2023-12-26,Gold,Inactive
CUST04101,Samantha,Hughes,mlewis@example.net,8463981626,Kolkata,Tamil Nadu,India,2022-01-01,Gold,Active
CUST03041,Patrick,Schmitt,amandaboyd@example.com,947-478-0702x135,Mumbai,Delhi,India,2024-04-18,Silver,Inactive
CUST04368,Susan,Austin,sarawashington@example.org,001-713-602-5494x503,Patna,Rajasthan,India,2022-05-16,Silver,Inactive
CUST00374,Kimberly,Lewis,michaelrosario@example.org,+1-411-784-9250x11275,Jaipur,Delhi,India,2024-03-31,Gold,Active
CUST03567,Mallory,Rodriguez,adammiller@example.net,4196974560,Bangalore,Bihar,India,2022-07-01,Gold,Active
CUST02173,Christian,Mcneil,antonio33@example.org,(419)817-1152,Pune,Tamil Nadu,India,2022-09-16,Silver,Inactive
CUST01865,Monica,Vargas,ocampbell@example.com,403-372-2485x02038,Kolkata,Rajasthan,India,2022-11-15,Silver,Active
CUST01182,Randy,Richard,bryan73@example.com,3448053806,Hyderabad,Karnataka,India,2023-07-29,Silver,Inactive
CUST03226,Brittney,Conner,jeremiahkent@example.org,815.415.0180,Mumbai,Uttar Pradesh,India,2022-03-05,Platinum,Inactive
CUST01722,Gregory,Watkins,marquezjessica@example.com,604.883.3728,Lucknow,Rajasthan,India,2023-08-25,Platinum,Inactive
CUST00487,Clayton,Jacobs,jesse28@example.com,,Pune,Maharashtra,India,2023-04-13,Platinum,Inactive
CUST03291,Megan,Chavez,fcallahan@example.com,(605)636-1577x59510,Jaipur,Rajasthan,India,2023-05-20,Gold,Inactive
CUST00066,Cindy,Tucker,qmclaughlin@example.com,,Hyderabad,Bihar,India,2022-05-15,Platinum,Active
CUST01210,Jacqueline,Lopez,cbooker@example.org,(400)344-0628,Jaipur,Uttar Pradesh,India,2022-07-31,Gold,Active
CUST00169,Stephanie,Bishop,bridgesjuan@example.net,455.700.8957x338,Pune,Bihar,India,2023-09-13,Gold,Inactive
CUST04534,Valerie,Wall,ujimenez@example.org,001-394-852-0729,Kolkata,Uttar Pradesh,India,2024-04-22,Platinum,Inactive
CUST04110,Lance,Vance,adamscurtis@example.net,565.667.0466x342,Hyderabad,Maharashtra,India,2023-07-14,Gold,Active
CUST02826,Deborah,Gentry,michael65@example.com,504.836.5274x5675,Jaipur,Karnataka,India,2023-11-21,Platinum,Active
CUST00747,Jason,Bennett,terririchards@example.com,921-668-9881x24452,Lucknow,Bihar,India,2024-01-17,Platinum,Inactive
CUST03155,Tina,Glenn,wilsonmichelle@example.net,993.310.7722,Patna,Bihar,India,2022-12-20,Silver,Active
CUST00978,Gary,Martin,craiggarcia@example.net,463.704.6201,Delhi,West Bengal,India,2024-02-15,Platinum,Inactive
CUST00297,Laura,Collins,alyssasingleton@example.com,001-805-457-2143x2430,Patna,Uttar Pradesh,India,2022-01-08,Silver,Active
CUST03904,Derrick,Mendoza,lutzstacey@example.org,001-355-580-0899x208,Pune,Telangana,India,2023-08-19,Platinum,Inactive
CUST00732,Mercedes,Johnson,krista18@example.com,9939812402,Mumbai,Uttar Pradesh,India,2022-09-11,Platinum,Active
CUST04311,Brent,Snyder,philip95@example.org,287.578.9940x03788,Delhi,West Bengal,India,2024-03-07,Silver,Inactive
CUST04884,Jacqueline,Perez,brandigarza@example.net,(993)312-4043x27993,Bangalore,Delhi,India,2022-06-24,Silver,Active
CUST01700,Richard,Brown,odawson@example.org,001-263-505-5461x6143,Lucknow,Uttar Pradesh,India,2023-10-01,Platinum,Active
CUST01873,Daniel,Sampson,qoconnor@example.org,5172807210,Bangalore,Karnataka,India,2024-06-16,Gold,Inactive
CUST01102,Jade,York,baileyanna@example.net,284.874.3923x8711,Hyderabad,West Bengal,India,2023-02-26,Silver,Active
CUST04747,Timothy,Miranda,susan84@example.org,945-987-8757x629,Delhi,Delhi,India,2024-04-11,Gold,Inactive
