customer_id,first_name,last_name,email,phone,city,state,country,signup_date,membership,status
CUST00001,Diana,Bass,paulerica@example.org,9935730990,Mumbai,Delhi,India,2023-10-17,Platinum,Inactive
CUST00002,Patricia,Pena,samanthahoward@example.net,9489223748,Pune,Bihar,India,2022-09-08,Platinum,Active
CUST00003,Dalton,Smith,carolyn94@example.com,(913)361-4471x19728,Jaipur,Maharashtra,India,2023-11-24,Platinum,Inactive
CUST00004,Rose,Hall,justinadkins@example.com,(329)594-8104x439,Delhi,Maharashtra,India,2022-02-02,Silver,Active
CUST00005,Phyllis,Cook,antonio04@example.net,001-988-350-0848x43155,Kolkata,Delhi,India,2023-06-02,Platinum,Active
CUST00006,Wesley,Martin,emoore@example.com,859-552-2841x0783,Jaipur,Uttar Pradesh,India,2024-01-04,Silver,Inactive
CUST00007,Daniel,Campbell,tterrell@example.net,(579)822-1239x4281,Hyderabad,Delhi,India,2023-08-27,Silver,Inactive
CUST00008,Brandy,Brewer,vanderson@example.net,+1-343-662-7124x976,Hyderabad,Bihar,India,2022-12-15,Silver,Inactive
CUST00009,Edward,Love,bishopeugene@example.org,737-303-1192x667,Mumbai,Uttar Pradesh,India,2022-04-15,Silver,Inactive
CUST00010,Hunter,Johnson,andrewyoung@example.com,836.828.0929x38037,Chennai,Telangana,India,2024-05-17,Silver,Inactive
CUST00011,William,Johnson,john80@example.com,+1-664-309-1475x815,Mumbai,Uttar Pradesh,India,2023-07-04,Silver,Inactive
CUST00012,Sheila,Martin,melissa18@example.net,517.821.0574,Kolkata,Karnataka,India,2024-04-29,Platinum,Active
CUST00013,Rebecca,Hill,wrightsarah@example.net,5273704592,Mumbai,Delhi,India,2023-12-23,Platinum,Active
CUST00014,Richard,Davis,christopherboyd@example.net,824.298.4604x50411,Hyderabad,Maharashtra,India,2024-03-02,Silver,Active
CUST00015,Jennifer,Jimenez,susan80@example.net,998-728-6546,Hyderabad,Rajasthan,India,2023-01-25,Platinum,Inactive
CUST00016,Jonathan,Harper,joellewis@example.org,459.739.7629x137,Chennai,Karnataka,India,2022-06-16,Silver,Inactive
CUST00017,Sonia,Young,joe68@example.com,218.287.8749,Mumbai,Bihar,India,2023-12-20,Platinum,Active
CUST00018,Kathleen,Mitchell,kennethclark@example.org,(525)298-4346,Lucknow,Uttar Pradesh,India,2022-06-17,Gold,Active
CUST00019,April,Frederick,julianadams@example.com,(939)663-7638x01698,Chennai,Delhi,India,2023-12-03,Silver,Active
CUST00020,Eileen,Cunningham,malonelinda@example.net,784-963-1883x364,Chennai,Uttar Pradesh,India,2024-04-04,Gold,Active
CUST00021,Mariah,Guzman,campbellcarolyn@example.net,001-740-453-5128x9212,Kolkata,Karnataka,India,2022-08-05,Silver,Inactive
CUST00022,Brian,Soto,danielramirez@example.com,001-903-556-4303x076,Lucknow,Bihar,India,2023-02-10,Gold,Active
CUST00023,John,Mullen,gregorykennedy@example.net,672.781.8673,Jaipur,West Bengal,India,2022-09-10,Gold,Inactive
CUST00024,Vanessa,Dunn,milleramber@example.net,851-556-6962x6908,Bangalore,Karnataka,India,2023-08-21,Silver,Active
CUST00025,Monica,Petersen,williamsjorge@example.net,+1-204-246-4108x3505,Lucknow,Maharashtra,India,2023-06-06,Silver,Active
CUST00026,Brittany,Mccall,debra88@example.com,306-309-9316x068,Patna,Uttar Pradesh,India,2022-06-06,Platinum,Active
CUST00027,Heather,Campbell,fpatterson@example.org,597-494-7749x61677,Bangalore,Rajasthan,India,2023-01-30,Platinum,Inactive
CUST00028,Tamara,Kelley,mark97@example.net,935.617.5477,Delhi,Maharashtra,India,2023-07-21,Platinum,Inactive
CUST00029,Clayton,Miller,usanchez@example.com,3398133667,Chennai,Maharashtra,India,2024-02-27,Gold,Inactive
CUST00030,Daniel,Brown,austin23@example.net,,Lucknow,Delhi,India,2022-06-11,Platinum,Inactive
CUST00031,Emily,Young,deborahvillanueva@example.net,517.209.8041x43093,Patna,West Bengal,India,2023-05-28,Silver,Inactive
CUST00032,Eric,Hicks,eric72@example.org,837-625-8768x48586,Jaipur,Tamil Nadu,India,2024-05-11,Silver,Inactive
CUST00033,Sheryl,Morris,parkerbrian@example.org,+1-707-842-5037,Patna,West Bengal,India,2024-02-20,Platinum,Active
CUST00034,Amanda,Reynolds,mitchellnicholas@example.net,338.418.7194,Chennai,Rajasthan,India,2023-09-06,Silver,Active
CUST00035,Joseph,Moreno,castromitchell@example.org,593-216-6065x2615,Hyderabad,Tamil Nadu,India,2023-01-07,Silver,Active
CUST00036,Carlos,Hicks,xreyes@example.org,485.399.1007,Kolkata,Maharashtra,India,2024-06-18,Silver,Inactive
CUST00037,James,Moore,christopher35@example.net,385.325.2358x358,Mumbai,West Bengal,India,2024-04-15,Silver,Active
CUST00038,Veronica,Gilbert,stevenhughes@example.net,929-751-1636,Lucknow,West Bengal,India,2023-11-07,Silver,Inactive
CUST00039,Jeremy,Burns,ejohnson@example.net,395-439-4388,Kolkata,Uttar Pradesh,India,2023-06-25,Silver,Active
CUST00040,Jesse,Peterson,bendersarah@example.net,407-577-7891,Hyderabad,Uttar Pradesh,India,2024-01-01,Platinum,Inactive
CUST00041,Dawn,Miller,daniel22@example.org,001-611-611-2750x68450,Jaipur,Rajasthan,India,2023-03-25,Silver,Active
CUST00042,Tina,Wilson,wellsana@example.org,001-814-597-5160x0359,Mumbai,Karnataka,India,2022-08-19,Silver,Active
CUST00043,Charlene,Armstrong,juan58@example.org,+1-500-353-5016,Pune,Delhi,India,2023-08-26,Silver,Active
CUST00044,Angela,Pruitt,evelyn35@example.com,(735)319-3272x1415,Mumbai,Delhi,India,2022-08-23,Gold,Active
CUST00045,Hector,Smith,xjohnson@example.com,001-359-760-9665x862,Pune,Telangana,India,2023-06-11,Platinum,Inactive
CUST00046,Luis,Rowe,julie97@example.org,001-206-756-4873x98271,Jaipur,Bihar,India,2022-08-08,Platinum,Inactive
CUST00047,Ryan,Lutz,martinezdouglas@example.org,7674190107,Lucknow,Uttar Pradesh,India,2022-09-06,Silver,Active
CUST00048,Jill,Taylor,danielmason@example.com,001-390-226-0315x91043,Bangalore,Karnataka,India,2022-04-10,Gold,Inactive
CUST00049,David,Castillo,anthony61@example.net,+1-414-493-9718,Delhi,Maharashtra,India,2023-04-24,Silver,Inactive
CUST00050,David,Dominguez,istewart@example.org,845.687.5776x31471,Chennai,Maharashtra,India,2024-01-16,Silver,Active
CUST00051,Mark,Nixon,jesus50@example.com,+1-865-690-0785x67689,Jaipur,Rajasthan,India,2022-07-14,Silver,Inactive
CUST00052,Emily,Rubio,christopher07@example.org,001-460-981-7536x99612,Hyderabad,Rajasthan,India,2022-07-07,Silver,Active
