customer_id,customer_name,email,registration_date,customer_type
CUST00001,Vikas Verma,vikasverma1@example.com,2023-01-26,VIP
CUST00002,Rohan Kumar,rohankumar2@example.com,2023-08-17,REGULAR
CUST00003,Simran Verma,simranverma3@example.com,2024-11-23,VIP
CUST00004,Nikhil Malhotra,nikhilmalhotra4@example.com,2023-03-31,VIP
CUST00005,Sneha Sharma,snehasharma5@example.com,2023-01-31,REGULAR
CUST00006,Neha Kumar,nehakumar6@example.com,2024-06-01,VIP
CUST00007,Rahul Malhotra,rahulmalhotra7@example.com,2023-07-23,VIP
CUST00008,Vikas Malhotra,vikasmalhotra8@example.com,2024-03-05,REGULAR
CUST00009,Karan Agarwal,karanagarwal9@example.com,2023-10-12,REGULAR
CUST00010,Aditya Singh,adityasingh10@example.com,2024-12-15,PREMIUM
CUST00011,Ankit Gupta,ankitgupta11@example.com,2023-06-09,REGULAR
CUST00012,Aditya Mehta,adityamehta12@example.com,2023-04-15,REGULAR
CUST00013,Sneha Verma,snehaverma13@example.com,2024-01-03,PREMIUM
CUST00014,Arjun Gupta,arjungupta14@example.com,2025-04-06,REGULAR
CUST00015,Simran Patel,simranpatel15@example.com,2024-07-03,REGULAR
CUST00016,Nikhil Joshi,nikhiljoshi16@example.com,2023-03-22,VIP
CUST00017,Rohan Agarwal,rohanagarwal17@example.com,2025-06-25,PREMIUM
CUST00018,Arjun Kumar,arjunkumar18@example.com,2024-12-22,REGULAR
CUST00019,Rahul Kumar,rahulkumar19@example.com,2025-03-02,PREMIUM
CUST00020,Amit Kumar,amitkumar20@example.com,2025-06-06,REGULAR
CUST00021,Sneha Gupta,snehagupta21@example.com,2024-04-09,VIP
CUST00022,Kavya Mehta,kavyamehta22@example.com,2023-06-16,PREMIUM
CUST00023,Ankit Kumar,ankitkumar23@example.com,2024-11-17,PREMIUM
CUST00024,Simran Verma,simranverma24@example.com,2024-09-15,VIP
CUST00025,Priya Malhotra,priyamalhotra25@example.com,2025-01-16,REGULAR
CUST00026,Priya Patel,priyapatel26@example.com,2024-01-24,PREMIUM
CUST00027,Nikhil Malhotra,nikhilmalhotra27@example.com,2023-08-13,VIP
CUST00028,Ankit Sharma,ankitsharma28@example.com,2023-08-23,REGULAR
CUST00029,Aditya Mehta,adityamehta29@example.com,2024-02-15,PREMIUM
CUST00030,Amit Kumar,amitkumar30@example.com,2025-07-24,VIP
CUST00031,Nikhil Mehta,nikhilmehta31@example.com,2023-08-06,VIP
CUST00032,Karan Joshi,karanjoshi32@example.com,2025-06-24,VIP
CUST00033,Karan Singh,karansingh33@example.com,2023-09-29,REGULAR
CUST00034,Neha Malhotra,nehamalhotra34@example.com,2024-07-05,PREMIUM
CUST00035,Simran Agarwal,simranagarwal35@example.com,2024-03-14,VIP
CUST00036,Sneha Mehta,snehamehta36@example.com,2023-08-13,REGULAR
CUST00037,Pooja Patel,poojapatel37@example.com,2023-04-04,REGULAR
CUST00038,Kavya Verma,kavyaverma38@example.com,2023-06-06,VIP
CUST00039,Priya Joshi,priyajoshi39@example.com,2024-09-02,REGULAR
CUST00040,Sneha Joshi,snehajoshi40@example.com,2024-09-02,PREMIUM
CUST00041,Pooja Gupta,poojagupta41@example.com,2024-07-20,REGULAR
CUST00042,Vikas Verma,vikasverma42@example.com,2024-11-29,VIP
CUST00043,Aditya Gupta,adityagupta43@example.com,2025-02-26,VIP
CUST00044,Ankit Verma,ankitverma44@example.com,2023-10-28,PREMIUM
CUST00045,Priya Patel,priyapatel45@example.com,2023-01-04,VIP
CUST00046,Nikhil Gupta,nikhilgupta46@example.com,2024-05-27,REGULAR
CUST00047,Pooja Verma,poojaverma47@example.com,2025-06-10,VIP
CUST00048,Rohan Malhotra,rohanmalhotra48@example.com,2024-09-15,REGULAR
CUST00049,Priya Mehta,priyamehta49@example.com,2025-02-19,REGULAR
CUST00050,Pooja Malhotra,poojamalhotragmail.com,2024-09-05,PREMIUM
CUST00051,Karan Sharma,karansharma51@example.com,2023-04-25,PREMIUM
CUST00052,Nikhil Gupta,nikhilgupta52@example.com,2023-09-03,REGULAR
CUST00053,Neha Agarwal,nehaagarwal53@example.com,2023-03-22,REGULAR
CUST00054,Simran Patel,simranpatel54@example.com,2025-04-15,REGULAR
CUST00055,Aditya Malhotra,adityamalhotra55@example.com,2025-02-23,REGULAR
CUST00056,Priya Patel,priyapatel56@example.com,2024-07-16,REGULAR
CUST00057,Rohan Malhotra,rohanmalhotra57@example.com,2025-06-12,VIP
CUST00058,Sneha Kumar,snehakumar58@example.com,2024-07-06,VIP
CUST00059,Simran Kumar,simrankumar59@example.com,2024-12-31,PREMIUM
CUST00060,Sneha Mehta,snehamehta60@example.com,2024-03-24,VIP
CUST00061,Karan Verma,karanverma61@example.com,2023-09-11,REGULAR
